text,created_at,author,uri,has_images,reply_to,date,time,language,hour,weekday,time_of_day,sentiment,row_id
"If youre going to encourage genAI scrapers then at least give us the ability to take our accounts Private like on Twitter 

I dont want my posts and artwork to go to train some rotten techbros ripoff engine",2024-11-27T08:36:26Z,did:plc:757ztl6b6ruhjl4criqhkhln,at://did:plc:757ztl6b6ruhjl4criqhkhln/app.bsky.feed.post/3lbw5id65oc26,FALSE,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lbvgvbvl6c2c,2024-11-27,08:36:26,en,8,Wednesday,Morning,0.5541,11
The puppy is now crying at am bc my bestie left for work I hope were not going to get a noise complaint Animal control hasnt contacted me back yet,2024-11-27T10:07:39Z,did:plc:gl2fcbugrrco7ay7kvejwbzm,at://did:plc:gl2fcbugrrco7ay7kvejwbzm/app.bsky.feed.post/3lbwclg4fuk26,FALSE,NA,2024-11-27,10:07:39,en,10,Wednesday,Morning,-0.34,12
 on my own  permitlicense,2024-11-27T09:39:56Z,did:plc:e3nzdxt4hev775ter7o3rezs,at://did:plc:e3nzdxt4hev775ter7o3rezs/app.bsky.feed.post/3lbwaztudm223,FALSE,at://did:plc:h6ziwwax65m3wlf34lhsro5n/app.bsky.feed.post/3lbv2uzeeus23,2024-11-27,09:39:56,en,9,Wednesday,Morning,0,13
they are showing us who they are,2024-11-27T11:14:39Z,did:plc:zb767rxniciaux2hzeisecpj,at://did:plc:zb767rxniciaux2hzeisecpj/app.bsky.feed.post/3lbwgd7xo4s2j,TRUE,NA,2024-11-27,11:14:39,en,11,Wednesday,Morning,0,14
Im sorry what,2024-11-27T08:58:38Z,did:plc:qxhcb2aciugjxjteizkt3kvq,at://did:plc:qxhcb2aciugjxjteizkt3kvq/app.bsky.feed.post/3lbw6pyo4hs24,FALSE,at://did:plc:3xomcphegzclnbkat3ylyrrn/app.bsky.feed.post/3lbvxnxaqws2e,2024-11-27,08:58:38,en,8,Wednesday,Morning,-0.0772,15
Listening Trump saying how he is going to make America great again,2024-11-27T08:15:55Z,did:plc:hjdbpfrtr3kc3cj6mmktvpai,at://did:plc:hjdbpfrtr3kc3cj6mmktvpai/app.bsky.feed.post/3lbw4dmtwqk2n,TRUE,NA,2024-11-27,08:15:55,en,8,Wednesday,Morning,0.6249,16
"late night  fun facts

Altani trained Ryn how to top back in ARR when they dated the first time Ryn was very unsure of herself and had basically no experience
Altani had gone through an alcohol induced ho phase after their parents died and was keenly aware of what they liked

",2024-11-27T10:38:49Z,did:plc:egtknpbb6vcifwqd3g3s264o,at://did:plc:egtknpbb6vcifwqd3g3s264o/app.bsky.feed.post/3lbwed5eink2l,FALSE,NA,2024-11-27,10:38:49,en,10,Wednesday,Morning,0.204,17
Its a cycle of criticism that repeats in every form of entertainment unfortunately Yet nothing is actually ever ruined,2024-11-27T09:39:26Z,did:plc:bybxt4frwtaukqn7rmfrypn3,at://did:plc:bybxt4frwtaukqn7rmfrypn3/app.bsky.feed.post/3lbwayxxwxk24,FALSE,at://did:plc:orasj4msh545ifhrvbg5x4ob/app.bsky.feed.post/3lbwanu3r3k2z,2024-11-27,09:39:26,en,9,Wednesday,Morning,-0.6808,18
"Elgiganten har kategorier med Top picks for you Suggested for you og Just for you

Onlinemarketing er dumt",2024-11-27T08:58:57Z,did:plc:vrddsstmimklcljsu3kf7jkl,at://did:plc:vrddsstmimklcljsu3kf7jkl/app.bsky.feed.post/3lbw6qldrhs2h,FALSE,NA,2024-11-27,08:58:57,en,8,Wednesday,Morning,0.2023,19
I was definitely at that point recently myself and disheartened because many dont want to play with voidsent players >< It takes a while to get back sorry to hear your muse hasnt been there I know were new mutuals but figured it would be okay to comment ^^,2024-11-27T11:08:39Z,did:plc:kretdqj35kco2pemuaqhmj3t,at://did:plc:kretdqj35kco2pemuaqhmj3t/app.bsky.feed.post/3lbwfyj2co226,FALSE,at://did:plc:lfftv6clwllnf5dflvy5y5ds/app.bsky.feed.post/3lbwfspmtl22u,2024-11-27,11:08:39,en,11,Wednesday,Morning,0.0826,20
First of all I dont steal pictures from other accounts and second of all I wouldnt have given the person who posted it the chance to think about using ALTtexts Many people simply dont know about it,2024-11-27T10:30:53Z,did:plc:urjrta5fgj4o7zifooyttjrm,at://did:plc:urjrta5fgj4o7zifooyttjrm/app.bsky.feed.post/3lbwduxyay22c,FALSE,at://did:plc:urjrta5fgj4o7zifooyttjrm/app.bsky.feed.post/3lbrie4q7ds2u,2024-11-27,10:30:53,en,10,Wednesday,Morning,0.5615,21
"Recent compilation of Dutch military support to Ukraine
wwwyoutubecomwatchv=IoMO",2024-11-27T11:24:06Z,did:plc:hymt64mqc2lznfq3intdjzbr,at://did:plc:hymt64mqc2lznfq3intdjzbr/app.bsky.feed.post/3lbwgu47xpk2f,TRUE,NA,2024-11-27,11:24:06,en,11,Wednesday,Morning,0.4019,22
i am letting you know that you should be posting more original character stuff here,2024-11-27T08:32:02Z,did:plc:uqwjfvwltvxuskwuane533hp,at://did:plc:uqwjfvwltvxuskwuane533hp/app.bsky.feed.post/3lbw5aha2ek2g,FALSE,at://did:plc:ydiu4egfm6yicrkbnzmp5isa/app.bsky.feed.post/3lbw333tn2c2c,2024-11-27,08:32:02,en,8,Wednesday,Morning,0.3804,23
My strange creature But out of all of them shes the most normal Look wise   ,2024-11-27T09:50:40Z,did:plc:so7gtoepzgc3firq2i5yixr4,at://did:plc:so7gtoepzgc3firq2i5yixr4/app.bsky.feed.post/3lbwbn2htxc2c,TRUE,NA,2024-11-27,09:50:40,en,9,Wednesday,Morning,0.6304,24
"Lovely dog I bet he was as daft as a bottle of crisps
Miss our Roby even now hes been in a container waiting to be scattered on the garden for  years now Not let go yet",2024-11-27T10:46:46Z,did:plc:dn5f5qymldpyed26xxeiqgbf,at://did:plc:dn5f5qymldpyed26xxeiqgbf/app.bsky.feed.post/3lbwere3cms2f,TRUE,at://did:plc:erzs2usjikysdat5zfme32vb/app.bsky.feed.post/3lbwdx76vxs24,2024-11-27,10:46:46,en,10,Wednesday,Morning,0.4939,25
for my friends anything for my enemies the law,2024-11-27T10:07:17Z,did:plc:vulnvaectr2csq5ufhmcgdwo,at://did:plc:vulnvaectr2csq5ufhmcgdwo/app.bsky.feed.post/3lbwckrm2ws2r,FALSE,at://did:plc:lljbxysrlh6d2f6nahgqkcoc/app.bsky.feed.post/3lbwbuyeytk2r,2024-11-27,10:07:17,en,10,Wednesday,Morning,-0.0258,26
Nearly yearsago hearing Cannibal Corpses The Bleeding got me hooked into death metal  still my favourite genre ,2024-11-27T08:24:40Z,did:plc:gtoddqp37ogavtyr5sphmyea,at://did:plc:gtoddqp37ogavtyr5sphmyea/app.bsky.feed.post/3lbw4tbsszk2f,TRUE,NA,2024-11-27,08:24:40,en,8,Wednesday,Morning,-0.5994,27
Welcome to the real world,2024-11-27T10:26:42Z,did:plc:ubyb3c6nuhwldozeylh7myhv,at://did:plc:ubyb3c6nuhwldozeylh7myhv/app.bsky.feed.post/3lbwdnhxnok2x,FALSE,at://did:plc:jmte4w4x7ukciit6lci6ziau/app.bsky.feed.post/3lbus7ztb4c2k,2024-11-27,10:26:42,en,10,Wednesday,Morning,0.4588,28
Dont Worry Tomorrow Will Be Worse   ,2024-11-27T11:08:35Z,did:plc:4nokyyss7zmuxuautag5vqob,at://did:plc:4nokyyss7zmuxuautag5vqob/app.bsky.feed.post/3lbwfyekxqs2r,TRUE,NA,2024-11-27,11:08:35,en,11,Wednesday,Morning,-0.1764,29
Many claim they are a feminist until you start talking about sex work,2024-11-27T08:09:34Z,did:plc:3oa7i7lscextn6xkd6rwipq4,at://did:plc:3oa7i7lscextn6xkd6rwipq4/app.bsky.feed.post/3lbw3ybmgls2h,FALSE,NA,2024-11-27,08:09:34,en,8,Wednesday,Morning,0,30
Spot on mate shows how far we have come,2024-11-27T08:22:30Z,did:plc:zt6y45cthf7jojdapzx3ucnx,at://did:plc:zt6y45cthf7jojdapzx3ucnx/app.bsky.feed.post/3lbw4pfdfcc2t,FALSE,at://did:plc:duia4slu5j4sutkuupejgtwv/app.bsky.feed.post/3lbw4msefdk2x,2024-11-27,08:22:30,en,8,Wednesday,Morning,0,31
Whats up with going to therapy and having to go all the taking  its like the therapist could be a brick wall that gets paid $ an hour ,2024-11-27T09:36:30Z,did:plc:oy5lrgtcm5nxznir5kxxzdin,at://did:plc:oy5lrgtcm5nxznir5kxxzdin/app.bsky.feed.post/3lbwatpiohc2z,FALSE,NA,2024-11-27,09:36:30,en,9,Wednesday,Morning,0.3612,32
"Who wants to see me get stuffed by this daddy  
            ",2024-11-27T11:01:59Z,did:plc:fwgo42jf2jfk24ojz5lx3bhh,at://did:plc:fwgo42jf2jfk24ojz5lx3bhh/app.bsky.feed.post/3lbwfmlb5h227,TRUE,NA,2024-11-27,11:01:59,en,11,Wednesday,Morning,0,33
so hot and the natural light is always so pretty in your house,2024-11-27T08:00:42Z,did:plc:bt4zal762dcgpyqrwjq5hqdi,at://did:plc:bt4zal762dcgpyqrwjq5hqdi/app.bsky.feed.post/3lbw3ifodqc2a,FALSE,at://did:plc:jjn2yogdbha45zvqasntjuvs/app.bsky.feed.post/3lbb2y3dcmc2z,2024-11-27,08:00:42,en,8,Wednesday,Morning,0.7661,34
will u make a hr youtube video about them,2024-11-27T09:49:02Z,did:plc:fpferxsrsw7dz7xlm2224ujw,at://did:plc:fpferxsrsw7dz7xlm2224ujw/app.bsky.feed.post/3lbwbk4h4ns2m,FALSE,at://did:plc:g3o2ppupyby5uasyykrvcr34/app.bsky.feed.post/3lbw4xuuh422k,2024-11-27,09:49:02,en,9,Wednesday,Morning,0,35
for today is a male anime work with bust up size he is a blonde haired man and has a handsome face,2024-11-27T11:18:33Z,did:plc:riczvc4zsk7lbzxdbq2fhhjs,at://did:plc:riczvc4zsk7lbzxdbq2fhhjs/app.bsky.feed.post/3lbwgk6vp6s2t,TRUE,NA,2024-11-27,11:18:33,en,11,Wednesday,Morning,0.4939,36
this post drove me insane to do it bskyappprofileshet,2024-11-27T08:45:19Z,did:plc:7jnojadbkvnptxxoyil4prf3,at://did:plc:7jnojadbkvnptxxoyil4prf3/app.bsky.feed.post/3lbw5y7grh22n,FALSE,at://did:plc:7jnojadbkvnptxxoyil4prf3/app.bsky.feed.post/3lbw5s3pinc2g,2024-11-27,08:45:19,en,8,Wednesday,Morning,-0.4019,37
"What kind of freak posts images of his daughter on todays internet  Believe it or not there are lots of bad people in the social community you keep online that you dont know about it is NOT the case that only liberal and refugees are bad

Well count yourself warned",2024-11-27T11:33:45Z,did:plc:llamc5lk6j2hysznvh5yj32j,at://did:plc:llamc5lk6j2hysznvh5yj32j/app.bsky.feed.post/3lbwhfefapc25,FALSE,at://did:plc:p4xksxo6wl2jtpqr5iq3lugp/app.bsky.feed.post/3lbpebcnn6s2p,2024-11-27,11:33:45,en,11,Wednesday,Morning,-0.8805,38
I learned from tooling around on YouTube just takes patience,2024-11-27T09:16:43Z,did:plc:obsp6inlgg5xivoms5oglia6,at://did:plc:obsp6inlgg5xivoms5oglia6/app.bsky.feed.post/3lbw7qdvois2k,FALSE,at://did:plc:ukbhtgsl42xrom5pblkftnwq/app.bsky.feed.post/3lbw7it7pmc2i,2024-11-27,09:16:43,en,9,Wednesday,Morning,0,39
Ive gone from being like the only LuciGibe shipper to one of several and I couldnt be happier tbh,2024-11-27T09:12:52Z,did:plc:djjcxpurya6lt5zhco3jnylw,at://did:plc:djjcxpurya6lt5zhco3jnylw/app.bsky.feed.post/3lbw7jhdzrk2v,FALSE,NA,2024-11-27,09:12:52,en,9,Wednesday,Morning,-0.0711,40
  and sending blessings,2024-11-27T09:19:08Z,did:plc:ztos2j34bvsgi453imewxpof,at://did:plc:ztos2j34bvsgi453imewxpof/app.bsky.feed.post/3lbw7uoaesc2r,FALSE,at://did:plc:j3ubfmphy2jbf7fmkuj53ast/app.bsky.feed.post/3lbvqopxu5c2m,2024-11-27,09:19:08,en,9,Wednesday,Morning,0.5423,41
The original webp is kb,2024-11-27T10:37:13Z,did:plc:offd2hd4een7uo4k7kr6opv7,at://did:plc:offd2hd4een7uo4k7kr6opv7/app.bsky.feed.post/3lbweacbhfk2a,FALSE,at://did:plc:offd2hd4een7uo4k7kr6opv7/app.bsky.feed.post/3lbwczuwlnk2a,2024-11-27,10:37:13,en,10,Wednesday,Morning,0.3182,42
Nice I restored both of mine during lockdown,2024-11-27T11:52:55Z,did:plc:4ykovwwmwbkby6tivfmtnk2w,at://did:plc:4ykovwwmwbkby6tivfmtnk2w/app.bsky.feed.post/3lbwihn45ss2d,TRUE,at://did:plc:lyko3m2vrvri7d3g6vdz76tg/app.bsky.feed.post/3lbwgyietdk26,2024-11-27,11:52:55,en,11,Wednesday,Morning,0.6369,43
Congratulations Never stop appreciating yourself,2024-11-27T11:54:40Z,did:plc:fllrg3og3hnnhzfq2fx34msr,at://did:plc:fllrg3og3hnnhzfq2fx34msr/app.bsky.feed.post/3lbwikrc5mc2a,FALSE,at://did:plc:r3baitgdku67b6vmnnon2jy2/app.bsky.feed.post/3lbvzspucps25,2024-11-27,11:54:40,en,11,Wednesday,Morning,0.5239,44
I got it when it came out and absolutely sucked at it Picked it back up a few times and never made it further than Father Gascoigne A couple months ago I went for another go and have made it past Rom the spider and that Amygdala boss Still a long way to go but one day I will beat it,2024-11-27T11:48:53Z,did:plc:2fh7d763b7ah46rbj6wsl6vy,at://did:plc:2fh7d763b7ah46rbj6wsl6vy/app.bsky.feed.post/3lbwiah2jkc2i,FALSE,at://did:plc:kh2oghs5wa2j2hmyc6qbc7xv/app.bsky.feed.post/3lbvysakpkk2d,2024-11-27,11:48:53,en,11,Wednesday,Morning,-0.2838,45
This is the level of intellect we have to deal with when improving our urban environments Found on a local Facebook page from my hometown which was suggesting they put in pedestrian crossing in the village to mitigate the risk from increased traffic due to sprawl People are upvoting this too,2024-11-27T09:53:29Z,did:plc:iawtoeteefhr6k3vi6b3oaln,at://did:plc:iawtoeteefhr6k3vi6b3oaln/app.bsky.feed.post/3lbwbs3xm4k27,TRUE,NA,2024-11-27,09:53:29,en,9,Wednesday,Morning,0.7003,46
yes and i have no regrets,2024-11-27T08:12:20Z,did:plc:fptg4moph6qpme2okksdaycb,at://did:plc:fptg4moph6qpme2okksdaycb/app.bsky.feed.post/3lbw457mlhs2a,FALSE,at://did:plc:yjcxe67bifyv33wd26ylowkc/app.bsky.feed.post/3lbw2w4hqr224,2024-11-27,08:12:20,en,8,Wednesday,Morning,0.5873,47
i am staying as an american and fight for my rights,2024-11-27T09:39:55Z,did:plc:kczfwic2jsjfkf3qx4vsoytf,at://did:plc:kczfwic2jsjfkf3qx4vsoytf/app.bsky.feed.post/3lbwazt56fc24,FALSE,at://did:plc:gkgmduxh722ocstroyi75gbg/app.bsky.feed.post/3lbvh75f6qk2y,2024-11-27,09:39:55,en,9,Wednesday,Morning,-0.3818,48
Brilliant talk from Prof Sir Chris Whitty w some important messages regarding multiple long term conditions   of dementia delayable by modifiable factors,2024-11-27T11:14:05Z,did:plc:mny2eea7vnetscmedjcpwvti,at://did:plc:mny2eea7vnetscmedjcpwvti/app.bsky.feed.post/3lbwgc7kvek2b,TRUE,NA,2024-11-27,11:14:05,en,11,Wednesday,Morning,0.6808,49
"Another of these  but a good one  
",2024-02-10T07:46:08Z,did:plc:tedre3minnqjuhpjkdnt2yam,at://did:plc:tedre3minnqjuhpjkdnt2yam/app.bsky.feed.post/3lbwixymt5b2g,FALSE,NA,2024-02-10,07:46:08,en,7,Saturday,Morning,0.5927,50
My favorite joke I made to my Asian coworkers is when I bought some cat food and had to leave it in the break room and i told people hey hey dont eat that and just walked away Only my coworker thats technically American nd gen immigrant actually thought it was funny,2024-11-27T08:53:33Z,did:plc:ovx2zdmap2yvfan5jlkdawf6,at://did:plc:ovx2zdmap2yvfan5jlkdawf6/app.bsky.feed.post/3lbw6gw7yec2v,FALSE,NA,2024-11-27,08:53:33,en,8,Wednesday,Morning,0.7845,51
"I hope when the Ducks see Wicked they sit next to someone singing loud and off key 
",2024-11-27T11:52:58Z,did:plc:ewtjqfa6vk2m5gge3dgmpjdn,at://did:plc:ewtjqfa6vk2m5gge3dgmpjdn/app.bsky.feed.post/3lbwihqfums2b,FALSE,NA,2024-11-27,11:52:58,en,11,Wednesday,Morning,-0.128,52
Never heard of it and now Im fascinated Best way to watch,2024-11-27T11:30:51Z,did:plc:3bo6riipmuequn6tdsek7dmu,at://did:plc:3bo6riipmuequn6tdsek7dmu/app.bsky.feed.post/3lbwha6jvqk2n,FALSE,at://did:plc:uz5k7cnsxqtlxi4ushvba3ys/app.bsky.feed.post/3lbvtadafnc22,2024-11-27,11:30:51,en,11,Wednesday,Morning,0.8074,53
And the final piece,2024-11-27T09:55:06Z,did:plc:bw35spglnrnm6wlcivwsi2gp,at://did:plc:bw35spglnrnm6wlcivwsi2gp/app.bsky.feed.post/3lbwbuxpzws2t,FALSE,at://did:plc:bw35spglnrnm6wlcivwsi2gp/app.bsky.feed.post/3lbwaibamhk2t,2024-11-27,09:55:06,en,9,Wednesday,Morning,0,54
"Kia ora This tweet was tweeted using a demonstration bluesky bot designed for the Digital Communication and Practice class at Auckland Uni PS I think I see the 

",2024-11-27T10:45:19Z,did:plc:t2p6xual7g4yy5t7rq4yuqz3,at://did:plc:t2p6xual7g4yy5t7rq4yuqz3/app.bsky.feed.post/3lbweorxuny2e,FALSE,NA,2024-11-27,10:45:19,en,10,Wednesday,Morning,-0.5859,55
Just ate a whole cake,2024-11-27T10:32:33Z,did:plc:2xir73cdn23zmhirkiounvhl,at://did:plc:2xir73cdn23zmhirkiounvhl/app.bsky.feed.post/3lbwdxx5bfs2l,FALSE,NA,2024-11-27,10:32:33,en,10,Wednesday,Morning,0,56
reading shouldnt be a chore Well welcome to the Critique of Pure Reason,2024-11-27T09:42:16Z,did:plc:pf2jiyev535wgi4gakzsqzub,at://did:plc:pf2jiyev535wgi4gakzsqzub/app.bsky.feed.post/3lbwb5zytxc2y,FALSE,at://did:plc:iq6aw4tscf5n5oplggiyjfyl/app.bsky.feed.post/3lbw37e2dks2f,2024-11-27,09:42:16,en,9,Wednesday,Morning,0.6249,57
Ofc always fun when I DJ and the crowd it lit,2024-11-27T09:08:03Z,did:plc:yu6xpyx3tptsw6rdkebzoly5,at://did:plc:yu6xpyx3tptsw6rdkebzoly5/app.bsky.feed.post/3lbw7auaiv22c,FALSE,at://did:plc:2zkrulkkro63vr6qhxisfio2/app.bsky.feed.post/3lbw77grhec2w,2024-11-27,09:08:03,en,9,Wednesday,Morning,0.5106,58
Do your grocery stores have a British section where you can purchase lemon curd It seems like that could be spread on traditional Ritz for the same effect,2024-11-27T09:59:28Z,did:plc:5ehmn6tqnzzoxj2bluuue23p,at://did:plc:5ehmn6tqnzzoxj2bluuue23p/app.bsky.feed.post/3lbwc4rsssk2u,FALSE,at://did:plc:c2dzwvwqry2u7qtuvfav76ua/app.bsky.feed.post/3lbwb3xbzis25,2024-11-27,09:59:28,en,9,Wednesday,Morning,0.3612,59
Funny they got what they deserved,2024-11-27T10:39:58Z,did:plc:vik4akvjoferaay2bcqj73de,at://did:plc:vik4akvjoferaay2bcqj73de/app.bsky.feed.post/3lbwef76wzp2q,FALSE,at://did:plc:to2zkvewpmryffjwcrncv6lt/app.bsky.feed.post/3lbvbrfy6pk2m,2024-11-27,10:39:58,en,10,Wednesday,Morning,0.4404,60
Oh I missed the Heaven story,2024-11-27T08:20:47Z,did:plc:zjhglctfarlwhnb6hyhkvwl2,at://did:plc:zjhglctfarlwhnb6hyhkvwl2/app.bsky.feed.post/3lbw4mdd4x22z,FALSE,at://did:plc:dbhiezqaldwi3mahhrhojph7/app.bsky.feed.post/3lbw4lhenvk2c,2024-11-27,08:20:47,en,8,Wednesday,Morning,0.2732,61
Save up to  on McDSPs compressors  limiters equalizers channel strips and more rekkerdorgmcdspscompr,2024-11-27T10:42:11Z,did:plc:wfk4pom5ubpbrtjn6emxxm25,at://did:plc:wfk4pom5ubpbrtjn6emxxm25/app.bsky.feed.post/3lbwej65nqc25,FALSE,NA,2024-11-27,10:42:11,en,10,Wednesday,Morning,0.4939,62
yess im hoping sellingtradingwearing them will be like a pspspsps calling to more cool furries in my local art community haha Thatll be my motivation,2024-11-27T11:56:45Z,did:plc:zidk2s7prz7tiql42l4tllzu,at://did:plc:zidk2s7prz7tiql42l4tllzu/app.bsky.feed.post/3lbwioj2nb222,FALSE,at://did:plc:r4jzyd5eny3wupghpmtio4zt/app.bsky.feed.post/3lbwhifx6322f,2024-11-27,11:56:45,en,11,Wednesday,Morning,0.9061,63
That clamp would my my balls hurt,2024-11-27T11:33:08Z,did:plc:5rhsoivf45ja5xvo2brlivz2,at://did:plc:5rhsoivf45ja5xvo2brlivz2/app.bsky.feed.post/3lbwhebe7ns25,FALSE,at://did:plc:p4r4ej7xf7nx4ka6wf4hjthb/app.bsky.feed.post/3lbsnh2uyzk2y,2024-11-27,11:33:08,en,11,Wednesday,Morning,-0.5267,64
"The only thing I like about Musk is watching this guys Kfired ego trajectory light up the sky in realtime and anticipating his burn up on comedown 

Otherwise he is an absolute fucking vile menaceeven to look at",2024-11-27T10:50:56Z,did:plc:wuf7tgart4mv74d443mlcupd,at://did:plc:wuf7tgart4mv74d443mlcupd/app.bsky.feed.post/3lbweysssik2f,FALSE,NA,2024-11-27,10:50:56,en,10,Wednesday,Morning,-0.5709,65
I woke up at like am and havent been able to go back to sleep Send help,2024-11-27T09:25:36Z,did:plc:2x5mb7qt4jxlqxawetumvznq,at://did:plc:2x5mb7qt4jxlqxawetumvznq/app.bsky.feed.post/3lbwaaa4ybs24,FALSE,NA,2024-11-27,09:25:36,en,9,Wednesday,Morning,0.6369,66
We found that while users show more eclecticism in their tastesand even subversion of the Christmas genreSpotify playlists while traditional also promote Norwegianlanguage music,2024-11-27T11:02:46Z,did:plc:bzkdbhtcf46cvus7xl2rjreb,at://did:plc:bzkdbhtcf46cvus7xl2rjreb/app.bsky.feed.post/3lbwfnyiro22g,FALSE,at://did:plc:bzkdbhtcf46cvus7xl2rjreb/app.bsky.feed.post/3lbwfny373s2g,2024-11-27,11:02:46,en,11,Wednesday,Morning,0.3818,67
Indeed I am fine with paying for premium features like uploading video and such statistics and all those things also impose an extra cost Or even an ad free experience I hate ads and will hate if they go on here but money gotta flow But do not mess with basic functionality,2024-11-27T08:26:06Z,did:plc:zticru5xs2fcfizhvl7rrrhb,at://did:plc:zticru5xs2fcfizhvl7rrrhb/app.bsky.feed.post/3lbw4vtjrqc2d,FALSE,at://did:plc:x4d7yazerbjhjwnwfgi4tv7q/app.bsky.feed.post/3lbw4rnm45222,2024-11-27,08:26:06,en,8,Wednesday,Morning,0.1692,68
Copying the Brizzle flump a new low,2024-11-27T11:28:35Z,did:plc:eu4r2i5onftk5xlxz5pikidu,at://did:plc:eu4r2i5onftk5xlxz5pikidu/app.bsky.feed.post/3lbwh45ccus25,FALSE,at://did:plc:i2jnfns7bofuw7jziwudqnj7/app.bsky.feed.post/3lbwgxraums2t,2024-11-27,11:28:35,en,11,Wednesday,Morning,-0.2732,69
